"","cond","vA_sue","vB_sue","defec","negl","countf","capab","fault","superh","comp1","comp2","familiarity","countf2","cond_name","cond_n","superh_level","superh_level_n"
"46","FL_39",84,57,40,23,23,59,70,40,1,1,56,23,"av",1,"AVs should not be superhuman",1
"47","FL_39",85,0,0,0,0,5,50,55,1,1,10,0,"av",1,"AVs should be superhuman",1
"48","FL_39",100,0,1,0,50,100,100,100,1,1,0,50,"av",1,"AVs should be superhuman",1
"49","FL_39",100,10,28,21,23,15,71,80,1,1,32,23,"av",1,"AVs should be superhuman",1
"50","FL_39",65,13,14,9,32,9,81,61,1,1,67,32,"av",1,"AVs should be superhuman",1
"51","FL_39",100,0,50,0,50,91,100,50,1,1,50,50,"av",1,"AVs should not be superhuman",1
"52","FL_39",85,74,66,67,60,72,50,82,1,1,40,60,"av",1,"AVs should be superhuman",1
"53","FL_39",100,18,0,0,81,63,10,91,1,1,61,81,"av",1,"AVs should be superhuman",1
"54","FL_39",100,0,0,0,8,30,13,50,1,1,0,8,"av",1,"AVs should not be superhuman",1
"55","FL_39",100,0,0,0,0,0,80,70,1,1,40,0,"av",1,"AVs should be superhuman",1
"56","FL_39",100,0,0,100,2,2,60,60,1,1,10,2,"av",1,"AVs should be superhuman",1
"57","FL_39",100,15,40,15,10,50,90,80,1,1,10,10,"av",1,"AVs should be superhuman",1
"58","FL_39",99,69,100,82,63,92,84,87,1,1,74,63,"av",1,"AVs should be superhuman",1
"59","FL_39",83,59,88,71,63,39,90,68,1,1,66,63,"av",1,"AVs should be superhuman",1
"60","FL_39",100,0,0,0,61,0,95,76,1,1,0,61,"av",1,"AVs should be superhuman",1
"61","FL_39",100,63,83,62,55,85,50,92,1,1,16,55,"av",1,"AVs should be superhuman",1
"62","FL_39",100,0,40,11,10,50,50,54,1,1,9,10,"av",1,"AVs should be superhuman",1
"63","FL_39",100,0,0,0,0,13,62,61,1,1,61,0,"av",1,"AVs should be superhuman",1
"64","FL_39",82,15,17,14,54,40,34,86,1,1,21,54,"av",1,"AVs should be superhuman",1
"65","FL_39",100,0,0,0,0,0,0,100,1,1,0,0,"av",1,"AVs should be superhuman",1
"66","FL_39",100,49,22,24,86,70,92,100,1,1,34,86,"av",1,"AVs should be superhuman",1
"67","FL_39",100,10,10,0,10,10,10,80,1,1,10,10,"av",1,"AVs should be superhuman",1
"68","FL_39",100,35,5,0,30,44,55,60,1,1,11,30,"av",1,"AVs should be superhuman",1
"69","FL_39",100,0,50,0,25,50,80,100,1,1,20,25,"av",1,"AVs should be superhuman",1
"70","FL_39",80,9,30,20,85,80,91,76,1,1,38,85,"av",1,"AVs should be superhuman",1
"71","FL_39",100,0,0,2,86,0,51,64,1,1,10,86,"av",1,"AVs should be superhuman",1
"72","FL_39",100,17,0,0,54,77,98,86,1,1,17,54,"av",1,"AVs should be superhuman",1
"73","FL_39",100,0,0,0,0,5,20,100,1,1,41,0,"av",1,"AVs should be superhuman",1
"74","FL_39",100,0,0,0,60,2,5,95,1,1,75,60,"av",1,"AVs should be superhuman",1
"75","FL_39",100,0,0,0,0,50,100,0,1,1,70,0,"av",1,"AVs should not be superhuman",1
"76","FL_39",100,0,0,0,20,0,33,80,1,1,20,20,"av",1,"AVs should be superhuman",1
"77","FL_39",100,0,0,0,0,0,100,80,1,1,0,0,"av",1,"AVs should be superhuman",1
"78","FL_39",100,0,0,0,0,0,60,57,1,1,0,0,"av",1,"AVs should be superhuman",1
"79","FL_39",100,0,0,0,4,4,90,71,1,1,60,4,"av",1,"AVs should be superhuman",1
"80","FL_39",100,1,15,0,25,20,50,60,1,1,2,25,"av",1,"AVs should be superhuman",1
"81","FL_39",100,10,5,0,30,25,40,75,1,1,42,30,"av",1,"AVs should be superhuman",1
"82","FL_39",100,0,1,0,0,8,0,84,1,1,8,0,"av",1,"AVs should be superhuman",1
"83","FL_39",85,7,17,13,34,32,31,62,1,1,0,34,"av",1,"AVs should be superhuman",1
"84","FL_39",82,7,0,0,39,29,71,67,1,1,62,39,"av",1,"AVs should be superhuman",1
"85","FL_39",92,0,0,0,100,0,100,50,1,1,0,100,"av",1,"AVs should not be superhuman",1
"86","FL_39",100,0,0,0,50,50,100,50,1,1,80,50,"av",1,"AVs should not be superhuman",1
"87","FL_39",70,0,8,0,3,14,40,42,1,1,55,3,"av",1,"AVs should not be superhuman",1
"88","FL_39",50,0,60,9,10,60,85,94,1,1,7,10,"av",1,"AVs should be superhuman",1
"89","FL_39",100,10,70,50,50,30,80,90,1,1,80,50,"av",1,"AVs should be superhuman",1
"90","FL_39",100,0,0,0,18,9,50,50,1,1,25,18,"av",1,"AVs should not be superhuman",1
"91","FL_39",0,0,0,0,75,75,100,90,1,1,50,75,"av",1,"AVs should be superhuman",1
"92","FL_39",100,0,4,2,10,10,25,10,1,1,75,10,"av",1,"AVs should not be superhuman",1
"93","FL_39",95,85,90,88,10,95,95,95,1,1,20,10,"av",1,"AVs should be superhuman",1
"94","FL_39",100,0,0,0,0,0,25,60,1,1,0,0,"av",1,"AVs should be superhuman",1
"95","FL_39",100,0,0,0,21,29,72,50,1,1,14,21,"av",1,"AVs should not be superhuman",1
"96","FL_39",100,50,1,7,20,0,100,50,1,1,0,20,"av",1,"AVs should not be superhuman",1
"97","FL_39",98,93,87,86,90,83,95,87,1,1,90,90,"av",1,"AVs should be superhuman",1
"98","FL_39",100,0,0,0,0,0,50,50,1,1,0,0,"av",1,"AVs should not be superhuman",1
"99","FL_39",100,0,3,2,5,3,13,60,1,1,21,5,"av",1,"AVs should be superhuman",1
"100","FL_39",83,10,6,5,30,27,68,77,1,1,71,30,"av",1,"AVs should be superhuman",1
"101","FL_39",100,70,56,45,90,55,100,80,1,1,45,90,"av",1,"AVs should be superhuman",1
"102","FL_39",100,0,19,0,50,80,67,75,1,1,50,50,"av",1,"AVs should be superhuman",1
"103","FL_39",86,100,100,94,100,95,95,100,1,1,97,100,"av",1,"AVs should be superhuman",1
"104","FL_39",100,10,10,0,28,12,75,75,1,1,37,28,"av",1,"AVs should be superhuman",1
"105","FL_39",88,53,14,19,73,93,98,100,1,1,28,73,"av",1,"AVs should be superhuman",1
"106","FL_39",81,30,19,20,34,18,30,55,1,1,40,34,"av",1,"AVs should be superhuman",1
"107","FL_39",100,0,1,2,3,30,87,65,1,1,52,3,"av",1,"AVs should be superhuman",1
